https://www.CryptoDataDownload.com
uniq,date,symbol,open,high,low,close,Volume 1INCH,Volume USD
1653825600000,2022-05-29 12:00:00,1INCH/USD,0.922,0.9884,0.9062,0.9684,11203.09031,10849.072656204
1653796800000,2022-05-29 04:00:00,1INCH/USD,0.9031,0.9479,0.8975,0.9479,9127.46472,8651.923808088
1653739200000,2022-05-28 12:00:00,1INCH/USD,0.9181,0.9258,0.8963,0.922,6672.879915,6152.395281630001
1653710400000,2022-05-28 04:00:00,1INCH/USD,0.9092,0.9258,0.8963,0.9031,11141.007947,10061.444276935701
1653652800000,2022-05-27 12:00:00,1INCH/USD,0.9054,0.9228,0.8855,0.9181,21730.563871,19950.8306899651
1653624000000,2022-05-27 04:00:00,1INCH/USD,0.9171,0.9228,0.8855,0.9092,23951.856939,21777.028328938803
1653566400000,2022-05-26 12:00:00,1INCH/USD,0.8988,0.9579,0.8849,0.9054,24562.991947,22239.332908813798
1653537600000,2022-05-26 04:00:00,1INCH/USD,0.9608,0.9608,0.8921,0.9171,9413.416664,8633.0444225544
1653480000000,2022-05-25 12:00:00,1INCH/USD,0.9557,0.9801,0.894,0.8988,14738.016447,13246.529182563601
1653451200000,2022-05-25 04:00:00,1INCH/USD,1.0013,1.0013,0.9542,0.9608,647.799002,622.4052811216
1653393600000,2022-05-24 12:00:00,1INCH/USD,1.0095,1.0284,0.9557,0.9557,15976.203375,15268.457565487499
1653364800000,2022-05-24 04:00:00,1INCH/USD,0.9826,1.0284,0.9605,1.0013,13314.114543,13331.4228919059
1653307200000,2022-05-23 12:00:00,1INCH/USD,1.0154,1.052,0.9448,1.0095,33490.279315,33808.436968492504
1653278400000,2022-05-23 04:00:00,1INCH/USD,0.9945,1.052,0.9448,0.9826,32954.430673,32381.023579289802
1653220800000,2022-05-22 12:00:00,1INCH/USD,0.9894,1.0267,0.9702,1.0154,13489.807096,13697.550125278402
1653192000000,2022-05-22 04:00:00,1INCH/USD,0.9631,1.0159,0.9479,0.9945,24729.348146,24593.336731197003
1653134400000,2022-05-21 12:00:00,1INCH/USD,0.9205,1.0159,0.9205,0.9894,29768.061153,29452.5197047782
1653105600000,2022-05-21 04:00:00,1INCH/USD,0.926,0.9704,0.9141,0.9631,18193.976619,17522.6188817589
